reg,code,full_text,category,sub_cat,brand,sub_brand,company_name,business
5255937,96190000,"rascals-diapers-size 3 20pc count хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, наадаг. 100 баглаа*8уут*20ш, хэмжээ:3, 6-11кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5255937,96190000,"9306-rascals- diapers size3 хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, 1уут*8 боодол, 1 боодол*20ш, 6-11кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
6669786,96190000,"momotaro new series, baby pants xl size 1хайрцаг*6боодол*34ш, 12-17кг хүртэлх жинтэй хүүхэд өмсөх, нярай хүүхдийн",Baby Care,Diaper,Momotaro,Momotaro,MUGU international LLC,PG
6380085,96190000,"avanger хэмжээ:м, 1 хайрцагт*50 боодол*4ш, ххүхдийн",Baby Care,Diaper,Unknown Brand,Unknown Brand,Greenleaf biotech LLC,PG
6839754,96032100,"lz2508-uilc002 jsm925 сойзны бариул:нийт 5 төрлийн өнгөтэй хуванцар, үсний урт:10мм, үсний ширхэг:0.22мм,арилжааны",Oral Care,Toothbrush,Unknown Brand,Unknown Brand,Yurgana industry LLC,PG
5108233,96190000,"прокладки урологические seni lady extra plus se-095-ep15-e01 шөнийн, 1 уут*15ш, эмэгтэйчүүдийн",Fem Care,Pads,Seni,Seni,Nano international LLC,PG
5108233,96190000,"прокладки впитыващие специальные bella control sicreet extra be-095-ex10-w01 өдөр тутам,, 1 уут*10ш, эмэгтэйчүүдийн",Fem Care,Panty,Bella,Bella,Nano international LLC,PG
6588905,96190000,"incontinence towel normal size шээс задгайрах үед хэрэглэх, хэмжээ: 1хайрцаг*8боодол*14ш, эмэгтэйчүүдийн",Fem Care,Pads,Unknown Brand,Unknown Brand,Gerelt sono LLC,PG
5967694,96190000,"laurier slim guard, for heavy flow during the day, with wings өдрийн, хэмжээ:25см, 1хайрцаг*100уут, /19ш-тэй/, эмэгтэйчүүдийн",Fem Care,Pads,Laurier,Laurier,Kizuna japan LLC,PG
2057441,96190000,"3560071229467, x9 ultra thin premium night towels crf шөнийн, хөвөн зөөлөн, 1хайрцаг*16багц*9ш, эмэгтэйчүүдийн, ахуйн хэрэглээний",Fem Care,Pads,Carrefour,Carrefour,Altanjoloo LLC,PG
6693105,96190000,"aiwibi baby diapers awb18-07 xxxl size:xxxl, цэнхэр, улаан, хар, саарал өнгийн зураг бичиглэлтэй, гаднын гаж үнэргүй , хөвөн зөөлөн гадаргуутай, ус шингээх чадвартай, өмсдөг, хэмжээ:530*320мм, 1уут*22ш*1шуудай*6уут, хүүхдийн арилжааны",Baby Care,Diaper,Aiwibi,Aiwibi,Aiwibi Babycare Mongolia LLC,PG
6839754,96032100,"lz2508-uilc002 jsm925 сойзны бариул:нийт 3 төрлийн өнгөтэй хуванцар, үсний урт:8мм, үсний ширхэг:0.15мм,арилжааны",Oral Care,Toothbrush,Unknown Brand,Unknown Brand,Yurgana industry LLC,PG
2548429,96190000,"sofy good night slim 35cm 1хайрцаг*24боодол*8ш, ариун цэврийн",Fem Care,Pads,Sofy,Good Night,Tavanbogd LLC,PG
6535062,96190000,"bb kitty baby diapers наадаг, m хэмжээ, 6-11 кг жинтэй хүүхдэд зориулсан, парабен, латекс агуулаагүй, уутандаа 52-р савлагдсан, 125 хайрцаг*6 уут*52 ширхэг",Baby Care,Diaper,BB Kitty,BB Kitty,Asiapharma LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:xxxl*560*420/430*120мм, шингээлт:1440мл, савлагаа:1 том уутанд*6 ууттай*уут тус бүрт*36ш, 22кг-с дээш жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
6669786,96190000,"momotaro regular series, baby pull-up pants xxxl size 1хайрцаг*6боодол*35ш, 17кг-аас дээш жинтэй хүүхэд өмсөх, нярай хүүхдийн",Baby Care,Diaper,Momotaro,Momotaro,MUGU international LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:xl*530*320/450*110мм, шингээлт:900мл, савлагаа:1 том уутанд*20 ууттай*уут тус бүрт*5ш, 12-17кг жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
2659018,96190000,"laurier happy skin for heavy day with wings 4901301378439 далавчтай, 1хайрцаг*18боодол*20ш, хэмжээ: l*22.5см, хувийн хэрэглээний",Fem Care,Pads,Laurier,Laurier,Circle LLC,PG
5898994,96032100,"one stroke two birds budget toothbrush 12p хуванцар иштэй, 1хайрцаг*24багц*12ш, шүд арчилгааны",Oral Care,Toothbrush,Unknown Brand,Unknown Brand,Tselmuungoo LLC,PG
2659018,96190000,"laurier happy skin ultra slim for day without wings 4901301282743 далавчтай, өдрийн, 1хайрцаг*18боодол*32ш, хэмжээ: l*17см, хувийн хэрэглээний",Fem Care,Pads,Laurier,Laurier,Circle LLC,PG
6236804,96190000,"laurier ultra slim heavy-duty day night шөнийн, хэмжээ: 30см, 1уут*14ш , 1 хайрцагт: 18 уут, эмэгтэйчүүдийн",Fem Care,Pads,Laurier,Laurier,Tushy Od Pharm LLC,PG
7175281,96190000,"septona calm n care baby diapers midi no3 (4-9kg) 60pcs (*4) (8603) fsc mix (tuev-coc-000989)ot-exports 2230100060001 ууттай, хөвөн зөөлөн, 1хайрцагт:4уут*60ш, хэмжээ:4-9кг, нярай хүүхдийн",Baby Care,Diaper,Septona,Septona,Nomin Cosmetics LLC,PG
6669786,96190000,"momotaro regular series, baby pull-up pants xxl size 1хайрцаг*6боодол*36ш, 15кг-аас дээш жинтэй хүүхэд өмсөх, нярай хүүхдийн",Baby Care,Diaper,Momotaro,Momotaro,MUGU international LLC,PG
5108233,96190000,"прокладки впитыващие специальные bella control sicreet extra be-095-ex10-001 өдөр тутам,, 1 уут*10ш, эмэгтэйчүүдийн",Fem Care,Panty,Bella,Bella,Nano international LLC,PG
5108233,96190000,"прокладки впитыващие специальные bella control sicreet extra be-095-ex12-w01 өдөр тутам,, 1 уут*12ш, эмэгтэйчүүдийн",Fem Care,Panty,Bella,Bella,Nano international LLC,PG
6753698,96032100,"neo soft interdental brushes 10p (i) m багц: 10ш, хэмжээ: 0,42*0,4*0,21м, шүдний аппараттай хүмүүс хэрэглэдэг, арилжааны",Oral Care,Dental floss,Neo Soft,Neo Soft,Medos Healthcare LLC,PG
6753698,96032100,"neo soft interdental brushes 10p (i) ss багц: 10ш, хэмжээ: 0,42*0,4*0,21м, шүдний аппараттай хүмүүс хэрэглэдэг, арилжааны",Oral Care,Dental floss,Neo Soft,Neo Soft,Medos Healthcare LLC,PG
6753698,96032100,"neo soft interdental brushes 10p (i) sss багц: 10ш, хэмжээ: 0,42*0,4*0,21м, шүдний аппараттай хүмүүс хэрэглэдэг, арилжааны",Oral Care,Dental floss,Neo Soft,Neo Soft,Medos Healthcare LLC,PG
6753698,96032100,"neo soft interdental brushes 10p (i) ssss багц: 10ш, хэмжээ: 0.42*0.4*0.21м, шүдний аппараттай хүмүүс хэрэглэдэг, арилжааны",Oral Care,Dental floss,Neo Soft,Neo Soft,Medos Healthcare LLC,PG
6350437,96190000,"soonsoohanmyeon zero young sanitary pad 29cm 4p шөнийн, урт:290мм, хэмжээ:1хайрцаг*32уут*4ш, эмэгтэйчүүдийн",Fem Care,Pads,Soonsohanmyeon,Soonsohanmyeon,CVS mongolia LLC,PG
5877725,96190000,"дневные гигиенические прокладки с анионовым чипом /11289/ өдрийн, №10, урт: 240мм, 1хайрцаг*36боодол*10ш, эмэгтэйчүүдийн",Fem Care,Pads,Faberlic,Faberlic,New Faberlic LLC,PG
6791697,96190000,"maxguard ultra pad 360mm 8 pads шөнийн, урт: 360мм, 1хайрцаг*36багц*8ш, эмэгтэйчүүдийн",Fem Care,Pads,Purcotton,Purcotton,ABAG screen LLC,PG
5255937,96190000,"rascals-diapers-size 3 44pc count хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, наадаг. 216 баглаа*6уут*44ш, хэмжээ:3, 6-11кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5255937,96190000,"93223-rascals- diapers size3 хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, 1уут*6 боодол, 1 боодол*44ш, 6-11кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5339081,96190000,"baby pants xl46 хүүхдийн, 1уут*46ш, хэмжээ: xl, 1хайрцаг*4уут",Baby Care,Diaper,Unknown Brand,Unknown Brand,Narnii undes LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:l*490*320/400*110мм, шингээлт:800мл, савлагаа:1 том уутанд*20 ууттай*уут тус бүрт*5ш, 9-14кг жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
5752833,96190000,"e31083 11033121 huggies platinum 0-30/6 twizon msd ex наадаг, хэмжээ:0, 1хайрцаг*6боодол*30ш, 4хүртэл кг жинтэй нярай хүүхдийн",Baby Care,Diaper,Huggies,Huggies,MSM LLC,PG
6669786,96190000,"momotaro regular series, baby diaper xl size 1хайрцаг*2боодол*38ш, 12-17кг хүртэлх жинтэй хүүхэд өмсөх, нярай хүүхдийн",Baby Care,Diaper,Momotaro,Momotaro,MUGU international LLC,PG
6867154,96190000,"diaper size s, 70pcs *6bags хэмжээ:s, наадаг, 1хайрцаг*6боодол*70ш, тус бүрдээ ууттай, хүүхдийн",Baby Care,Diaper,Unknown Brand,Unknown Brand,Enkh Shiraana LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:xxl*535*415/420*110мм, шингээлт:1200мл, савлагаа:1 том уутанд*6 ууттай*уут тус бүрт*42ш, 15-22кг жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
6350437,96190000,"soonsoohanmyeon zero young sanitary pad 26cm 4p шөнийн, урт:260мм, хэмжээ:1хайрцаг*32уут*4ш, эмэгтэйчүүдийн",Fem Care,Pads,Soonsohanmyeon,Soonsohanmyeon,CVS mongolia LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:xxl*535*415/420*110мм, шингээлт:1200мл, савлагаа:1 том уутанд*8 ууттай*уут тус бүрт*16ш, 15-22кг жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
5255937,96190000,"rascals-diapers-size 2 24pc count хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, наадаг. 56 баглаа*8уут*24ш, хэмжээ:2, 5-8кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5255937,96190000,"9304-rascals- diapers size2 хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, 1уут*8 боодол, 1 боодол*24ш, 10-15кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
5752833,96190000,"e31083 11033121 huggies platinum 0-30/6 twizon msd ex наадаг, хэмжээ:0, 1хайрцаг*6боодол*30ш, 4хүртэл кг жинтэй, нярай хүүхдийн",Baby Care,Diaper,Huggies,Huggies,MSM LLC,PG
6669786,96190000,"momotaro regular series, baby pull-up pants xl size 1хайрцаг*6боодол*39ш, 12-17кг хүртэлх жинтэй хүүхэд өмсөх, нярай хүүхдийн",Baby Care,Diaper,Momotaro,Momotaro,MUGU international LLC,PG
6535062,96190000,"bb kitty baby diapers наадаг, s хэмжээ, 4-8 кг жинтэй нярайд зориулсан, парабен, латекс агуулаагүй, уутандаа 60-р савлагдсан, 106 хайрцаг*6 уут*60 ширхэг",Baby Care,Diaper,BB Kitty,BB Kitty,Asiapharma LLC,PG
6350437,96190000,"soonsoohanmyeon zero sanitary pad 33cm 12p шөнийн, урт:330мм, хэмжээ:1хайрцаг*16уут*12ш, эмэгтэйчүүдийн",Fem Care,Pads,Soonsohanmyeon,Soonsohanmyeon,CVS mongolia LLC,PG
6928528,96190000,"goon pants m чийг татдаггүй, размер: m, 1 боодол*50ш, хүүхдийн",Baby Care,Diaper,Goo N,Goo N,Asano gold LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:xl*520*400/400*110мм, шингээлт:1100мл, савлагаа:1 том уутанд*6 ууттай*уут тус бүрт*48ш, 12-18кг жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
6761879,96190000,"baby lab pant өмсдөг, өнгө:цагаан, хэмжээ:xl*520*400/400*110мм, шингээлт:1100мл, савлагаа:1 том уутанд*8 ууттай*уут тус бүрт*18ш, 12-18кг жинтэй хүүхдэд хэрэглэх",Baby Care,Diaper,BabyLab,BabyLab,Best Force LLC,PG
5906261,96190000,"limited) overnight (kotech) шөнийн, савлагаа: 1 хайрцаг*32 багц/10ш/*150гр, эмэгтэйчүүдийн ариун цэврийн",Fem Care,Pads,Good Feel,Good Feel,Mongolkorea store LLC,PG
5255937,96190000,"rascals-diapers-size 2 48pc count хөвөн зөөлөн материалтай, өнгө: цагаан, шингэнийг нэвтрүүлэхгүй, наадаг. 100 баглаа*6уут*48ш, хэмжээ:2, 5-8кг жинтэй хүүхдэд зориулагдсан",Baby Care,Diaper,Rascal & Friends,Rascal & Friends,Brickland LLC,PG
